sub_icb_location_code,sub_icb_location_ons_code,sub_icb_location_name,icb_ons_code,region_ons_code,appointment_date,actual_duration,count_of_appointments
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,04-Jan-22,11-15 Minutes,1298
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,04-Jan-22,1-5 Minutes,1476
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,05-Jan-22,Unknown / Data Quality,1271
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,05-Jan-22,31-60 Minutes,425
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,05-Jan-22,21-30 Minutes,678
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,05-Jan-22,6-10 Minutes,1660
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,05-Jan-22,11-15 Minutes,1155
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,05-Jan-22,16-20 Minutes,706
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,05-Jan-22,1-5 Minutes,1232
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,06-Jan-22,6-10 Minutes,1690
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,06-Jan-22,Unknown / Data Quality,1266
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,06-Jan-22,21-30 Minutes,684
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,06-Jan-22,31-60 Minutes,414
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,06-Jan-22,16-20 Minutes,770
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,06-Jan-22,11-15 Minutes,1248
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,06-Jan-22,1-5 Minutes,1212
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,07-Jan-22,Unknown / Data Quality,1144
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,07-Jan-22,6-10 Minutes,1621
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,07-Jan-22,31-60 Minutes,388
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,07-Jan-22,21-30 Minutes,663
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,07-Jan-22,16-20 Minutes,658
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,07-Jan-22,11-15 Minutes,1149
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,07-Jan-22,1-5 Minutes,1313
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,08-Jan-22,Unknown / Data Quality,163
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,08-Jan-22,6-10 Minutes,38
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,08-Jan-22,21-30 Minutes,7
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,08-Jan-22,16-20 Minutes,11
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,08-Jan-22,31-60 Minutes,11
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,08-Jan-22,1-5 Minutes,30
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,08-Jan-22,11-15 Minutes,23
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,10-Jan-22,Unknown / Data Quality,1283
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,10-Jan-22,6-10 Minutes,1935
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,10-Jan-22,31-60 Minutes,410
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,10-Jan-22,21-30 Minutes,805
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,10-Jan-22,11-15 Minutes,1437
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,10-Jan-22,1-5 Minutes,1529
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,10-Jan-22,16-20 Minutes,879
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,11-Jan-22,6-10 Minutes,1675
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,11-Jan-22,Unknown / Data Quality,1320
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,11-Jan-22,21-30 Minutes,757
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,11-Jan-22,31-60 Minutes,415
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,11-Jan-22,16-20 Minutes,781
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,11-Jan-22,1-5 Minutes,1281
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,11-Jan-22,11-15 Minutes,1200
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,12-Jan-22,Unknown / Data Quality,1248
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,12-Jan-22,6-10 Minutes,1638
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,12-Jan-22,31-60 Minutes,418
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,12-Jan-22,21-30 Minutes,729
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,12-Jan-22,16-20 Minutes,793
00L,E38000130,NHS North East and North Cumbria ICB - 00L,E54000050,E40000012,12-Jan-22,11-15 Minutes,1228
